"Origin ID","Name","Alternative Name","ITI Number","Category","Source","Date","Palette","Threadcount","Notes","Origin URL"
"1","Campbell (Clan)","42nd Regt. Campbell of Inveraray","1","Clan; Family","","1725","A#345064; OG#5C6428; K#101010;","A/28 K6 A6 K6 A6 K32 OG32 K6 OG32 K32 A32 K6 A/6","STS notes: The tartan appointed for the Highland Companies in 1725 and later for the Black Watch in 1739 may in fact have been worn by the Campbells at an earlier date. There is a strong possibility that many others wore the sett or something similar before the idea of distinctive clan tartans took hold. This tartan is worn by the present Duke of Argyll, who has approved the sett. The Black Watch is the same sett but dyed in darker shades. When used for the Argyle & Sutherland Highlanders this tartan's official designation is Gov. Tartan No. 1A (Black Watch is '1')","http://www.tartansauthority.com/tartan-ferret/display/1/"
"2","Campbell of Cawdor (Clan)","MacCorquodale (#3345)","2","Clan; Family","","pre 1798","A#5C8CA8; K#101010; R#C80000; B#2C2C80; G#006818;","A/8 K4 G32 K32 B32 K4 R/8","This sett is authorized by the present Clan Chief, MacCailien Mor. Campbell of Cawdor is one of Wilson's variations based on the military sett. It was originally a numbered pattern, acquiring the name 'Argyle' in 1798 and 'Argylle' in 1819. It is not until W. and A. Smith's work of 1850 that the full title is given, 'Campbell of Cawdor'. (Tartans Society). Sample in STA Dalgety Collection and in the 1880 Clans Originaux. 2009 weave for the Earl of Cawdor was R/12 NB56 K56 G56 K4 RB/12","http://www.tartansauthority.com/tartan-ferret/display/2/"
"3","Campbell of Loudoun (Clan)","Loudon Louden","3","Clan; Family","Johnston, W & A K","1906","WW#FCFCFC; Y#E8C000; K#000000; B#2C2C80; G#006818;","WW/4 K4 G28 K32 B28 K4 B8 K4 B28 K32 G28 K4 Y/4","This seems to be the accepted version of Campbell of Loudoun as shown in the 1906 W & A K Johnston books. It differs from the earlier sett in Clans Originaux shown at #6947 where there are no black tramlines on the blue. Castle Loudoun - now a Disney-style theme park - is in Ayrshire - 5 miles east of Kilmarnock.","http://www.tartansauthority.com/tartan-ferret/display/3/"
"6","Lorne (Royal?)","5th Royal Scots of Canada","6","Royal","Ross, Mr","1871","K#101010; RB#1C0070; G#006818;","RB/8 K4 G32 K4 G4 K4 G4 K32 RB4 K4 RB4 K4 RB32 K4 G/8","Partner to the 'Louise' tartan which was designed to take commercial advantage of the wedding of the Marquis of Lorne to Her Royal Highness the Princess Louise in 1871. Published in 'Campbell Tartan' by Alastair Campbell of Airdsd yr in 1985 where he quotes ""brought out by Mr M'Kissock of Girvan"" and approved by the Marquis of Lorne. There is a companion to this sett in which the red stripe is replaced with black. They are collectively known as Lorne and Louise tartans. In 1880 The Lorne was adopted by the 5th Royal Scots of Canada and used until they switched to the Government 42nd pattern (Black Watch). Jack Dalgety wrote (in James Cant's (d1960) colour strip book): ""Said to have been designed by a Mr Ross of Glasgow in 1872 (according to The Scotsman of 20th April 1972). According to Alastair Campbell, both were featured on Mauchlineware by the Smith Brothers of Mauchline. He also insists that the Lorne is not a District tartan.","http://www.tartansauthority.com/tartan-ferret/display/6/"
"11","Campbell, New Louden (Military)","","11","Military","Wilsons of Bannockburn","1840","LB#2888C4; G#006818; K#101010; DB#202060; WW#FCFCFC; LT#A08858; R#C80000; MP#9C68A4;","LT/18 WW4 MP4 LT4 R10 K4 R10 LT4 MP4 WW4 G24 WW4 LT10 DB4 LB4 LT10 WW4 R/50","STS: Possibly the elusive red Campbell tartan. James Scarlett speculates that this may be the 'lost' tartan that was planned for Lord Loudoun's Highland regiment around 1740 resurrected as a new pattern.","http://www.tartansauthority.com/tartan-ferret/display/11/"
"12","Campbell, The 42nd (Military)","","12","Military","Wilsons of Bannockburn","1819","BL#1474B4; K#101010; G#006818;","BL/12 K12 BL36 K36 G44 K/10","Illustrated in Kenneth Macleay's book 'Highlanders of Scotland' 1870.","http://www.tartansauthority.com/tartan-ferret/display/12/"
"13","Campbell of Loch Awe (Clan)","","13","Clan; Family","","1770","BL#1474B4; K#101010; G#006818;","K/4 BL22 K52 G22 K/4","The Scottish Tartans Society archives apparently suggested that this was a 'simplified manufacturers version', but in his 1985 book (Campbell Tartan) Alastair Campbell of Airds cites a painting, c. 1770, of a Medical Officer of the 42nd Regiment wearing this sett. One has to question the clarity of the painting and it seems more likely that the 1770 portrait is a 'suggestion' or 'interpretation' of the government sett. PEMcD Jan 05. Woven sample from Tom Sinclair scrapbook.","http://www.tartansauthority.com/tartan-ferret/display/13/"
"14","Campbell of Glenlyon Check (Clan)","","14","Clan; Family","","pre 2002","BL#1474B4; K#101010; G#006818;","BL/8 K4 BL28 K24 G/28","Sample in STA Scarlett Collection.","http://www.tartansauthority.com/tartan-ferret/display/14/"
"16","Campbell Htg (Fashion)","","16","Canadian; Fashion","","1945","WW#F8F8F8; Y#E8C000; R#C80000; T#604000; BL#1474B4; K#101010; N#888888;","R/8 T24 K24 T2 N24 Y2 K6 WW4 K2 BL/8","A more unlikely candidate for a Hunting tartan would be difficult to choose and this one is thought to have originated in Toronto, Canada, possibly around 1945. No modern weavers have taken up the challenge of trying to sell this as a hunting tartan. Alastair Campbell of Airds wrote ""One can only assume that a Canadian Campbell must have decided to cut a dash in a tartan of his own devising though what he was hunting in such gaudy plumage somewhat baffles the imagination!""","http://www.tartansauthority.com/tartan-ferret/display/16/"
"17","Campbell, Brown (Personal)","","17","Personal","","pre 2002","WW#FCFCFC; U#640800; G#006818; Y#E8C000; K#101010; DB#202060;","WW/9 K1 U31 G30 DB36 G3 DB3 G3 DB36 G30 U31 K1 Y/9","Said to have been a personal tartan for a Captain Campbell of the Blythswood family. Sample in the MacGregor-Hastie Collection. Count has been halved to show sett.","http://www.tartansauthority.com/tartan-ferret/display/17/"
