"Origin ID","Name","Alternative Name","Description","Category","Source","Origin URL"
"1","Campbell","Campbell Clan Tartan WR1","The tartan appointed for the Highland Companies in 1725 and later for the Black Watch in 1739 may in fact have been worn by the Campbells at an earlier date. There is a strong possibility that many others wore the sett or something similar before the idea of distinctive clan tartans took hold. This tartan is worn by the present Duke of Argyll, who has approved the sett. The Black Watch is usually dyed in darker shades.","Other","The source of tartan 1 was: MacCailein Mor Duke of Argyll","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=1.htm"
"2","Campbell","Campbell Sir, Walter Scott Clan Tartan WR10","It is interesting to note that this pattern contains both blue and purple. The sett is unlike any of the Campbell tartans.","Other","The source of tartan 10 was: Wilson's pattern book 1820","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=2.htm"
"3","MacRae","MacRae, (Rae) Clan Tartan WR100","Wilson's of Bannockburn made two patterns, 'Rae' and 'MacCrae'; Rae was Ross with green for red and all the other stripes in purple; in MacCrae the same treatment was applied to the red MacRae tartan except for the white overchecks which remained. (Scarlett-1990)","Other","The source of tartan 100 was: Wilson's of Bannockburn","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=3.htm"
"4","MacHardy","MacHardy Clan Tartan WR1000","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=4.htm"
"5","MacKillop","MacKillop Clan Tartan WR1001","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=5.htm"
"6","Timespan","Timespan (MacKay) Corporate Tartan WR1002","Based on MacKay of Strathnaver for 'Timespan Heritage Centre' at Helmsdale","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=6.htm"
"7","Livingstone","Livingstone Clan Tartan WR1003","Robert Bain's ""The Clans and Tartans of Scotland"" illustrates this sett. It is similar to the MacDonell of Keppoch. The small Highland clan of Livingston from the Isle of Lismore and Western Argyll originally bore a Gaelic name spelled in different ways - MacDunsleinhe, Mac-an-Leigh, or Maclea - and they were connected to the Stewarts of Appin. There is also an unconnected Lowland family deriving their name from the lands of Levingstoun.","Other","The source of tartan 1003 was: Bain","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=7.htm"
"8","Nicolson","Nicolson MacNicol Clan Tartan WR1004","D.C.Stewart wrote concerning the MacNicol tartan, ""Cloth has been woven purporting to show the correct sett, but the sett seems intended for that appearing in McIan's drawing, where no such claim is made for it. The drawing admits of many interpretations; the sett given here is one such reconstruction..."". In 1980 the Nicholsons and the MacNicols became separate clans. When Lord Carnock was recognised as Chief of the Nicholsons, Lord Lyon accepted a petition from Ian Nicholson of Scorrybreac, Chief of the MacNicols.","Other","The source of tartan 1004 was: 'The Setts..' No: 170 (1950) after McIan (1845)","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=8.htm"
"9","Scott red","Scott red WR1005","Sir Dick Lauder wrote to Sir Walter Scott in 1829 to say that he had seen this tartan in a manuscript prepared for the brothers John Sobieski and Charles Edward Stuart. Scott rejected the idea very firmly. The tartan is very popular today.","Other","The source of tartan 1005 was: Vestiarium Scoticum, 1842","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=9.htm"
"10","Scott dress","Scott dress WR1006","Based on the 'Red' Scott from the Vestiarium Scoticum.","Dress","The source of tartan 1006 was: James MacKinlay Collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=10.htm"
"11","Scott dress","Scott dress WR1007","Dress Scott tartan appears in Paton's collection which is housed at the Scottish Tartans Museum. The samples are undated but the collection is known to have been put together around the 1830s. This dress set clearly relates to the tartan of the Border Clan sometimes known as Green Scott.","Dress","The source of tartan 1007 was: Paton's collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=11.htm"
"12","Baillie of Polkemett","Baillie of Polkemett Family Tartan WR1008","Designed by A.W. Geddes for Messrs William Anderson of Edinburgh in 1937. The company is now known as 'Kinloch Anderson', Leith, Edinburgh. Geddes also designed a green tartan, with three white stripes, for the Ballies of Polkemett.","Other","The source of tartan 1008 was: Dgn. A.W. Geddes, 1937","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=12.htm"
"13","Wilson's No. 109","Wilson's No. 109 WR1009","The source of tartan 1009 was: Wilson's of Bannockburn.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=13.htm"
"14","MacRae","MacRae, (MacCrae) Clan Tartan WR101","Wilson's of Bannockburn made two patterns, 'Rae' and 'MacCrae'; Rae was Ross with green for red and all the other stripes in purple; in MacCrae the same treatment was applied to the red MacRae tartan except for the white overchecks which remained. (Scarlett-1990)","Other","The source of tartan 101 was: Wilson's of Bannockburn","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=14.htm"
"15","MacNab","MacNab Clan Tartan WR1010","The source of tartan 1010 was: Vestiarium Scoticum","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=15.htm"
"16","Unidentified","Unidentified Artifact Tartan WR1011","No date. No name?","Other","The source of tartan 1011 was: Telfer Dunbar collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=16.htm"
"17","MacDonald of Glencoe","MacDonald of Glencoe Artifact Tartan WR1012","The source of tartan 1012 was: Fort William museum. Cargill frag.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=17.htm"
"18","MacDonald of Glenaladale","MacDonald of Glenaladale Artifact Tartan WR1013","Previously marked 'unidentified'.","Other","The source of tartan 1013 was: Glencoe museum","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=18.htm"
"19","MacDougall","MacDougall Clan Tartan WR1014","'Clan Originaux' was published in Paris in 1880 by J. Claude Fres Et Cie. It contains the earliest known record of a number of Irish tartans and many variations of Scottish Clan tartans. The only copy known to exist was discovered recently in America and is now in the possession of Pendleton Mills in Portland, Oregon.","Other","The source of tartan 1014 was: Clan Originaux","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=19.htm"
"20","Unidentified","Unidentified Artifact Tartan WR1015","Museum of Antiquities","Other","The source of tartan 1015 was: Fragment with Wilson letter","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=20.htm"
"21","Mordente","Mordente Family Tartan WR1016","The source of tartan 1016 was: Dgn. J. Cargill","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=21.htm"
"22","Wilson's No. 197","Wilson's No. 197 WR1017","The source of tartan 1017 was: Wilson's of Bannockburn","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=22.htm"
"23","Dalwhinnie","Dalwhinnie Trade Tartan WR1018","The source of tartan 1018 was: MacNaughtons of Pitlochry","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=23.htm"
"24","Wilson's No. 179","Wilson's No. 179 WR1019","The source of tartan 1019 was: Wilson's of Bannockburn.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=24.htm"
"25","MacRae","MacRae, Rae Clan Tartan WR102","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=25.htm"
"26","MacDonald","MacDonald of Glencoe Clan Tartan WR1020","Count from a modern copy of a piece labelled 'found in Glencoe' with no suggestion of it being MacDonald.","Other","The source of tartan 1020 was: West Highland museum","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=26.htm"
"27","Hallingdal","Hallingdal District Tartan WR1021","Hallingdal is a secluded valley in central Norway. This pattern was produced around 1970 and is similar but not identical to much older specimens. Erik Paulsen (MSTS) says that in Hallingdal there is a living tradition of tartan, but he can find no concrete evidence of Scottish influence in this area. Plain weave.","Other","The source of tartan 1021 was: Donated by Elizabeth Speir","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=27.htm"
"28","Dunblane","Dunblane District Tartan WR1022","Peregrine, 2nd Viscount Dunblane in a portrait hanging in Hornby Castle, Yorkshire.","Other","The source of tartan 1022 was: Hornby Castle, Yorkshire","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=28.htm"
"29","Wilson's No. 108","Wilson's No. 108 WR1023","The source of tartan 1023 was: Wilson's of Bannockburn.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=29.htm"
"30","Wellington","Wellington No. 229 Commemorative Tartan WR1024","Wellington.","Other","The source of tartan 1024 was: Wilson's of Bannockburn.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=30.htm"
"31","Gallowater","Gallowater, Old 1025","Both 'Old' and 'New' appear in Wilson's 1819 pattern book.","Other","Wilson's of Bannockburn.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=31.htm"
"32","Wellington","Wellington No. 122 Tartan WR1026","The pattern books of the old firm of weavers, Wilson's of Bannockburn, provide a reliable early source for this tartan. Wilson's were in business with a monopoly to supply tartan to the regiments in the second half of the 18th century before this pattern was recorded.","Other","The source of tartan 1026 was: Wilson's of Bannockburn.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=32.htm"
"33","Galacia","Galacia 1027","Woven by D..C. Dalgliesh Colours are from the Galicia flag which has an azure diagonal stripe top left to bottom right on white.Red/gold/red are the Spanish flag.","Other","Dr Philip D. Smith Jr","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=33.htm"
"34","MacPhail","MacPhail Clan Tartan WR1028","The source of tartan 1028 was: Not attributed","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=34.htm"
"35","Douglas (Black)","Douglas (Black) WR1029","Often Called the ""Black"" Douglas","Other","The source of tartan 1029 was: John Wright of Edinburgh","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=35.htm"
"36","Montmorency","Montmorency Family Tartan WR103","Canadian fancy. Presented by Mrs K Sinclair","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=36.htm"
"37","St Lawrence","St Lawrence Trade or Fancy Tartan WR1030","Presented to the STS collection by Mr A Yule in 1963. Recorded as a Canadian Fancy.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=37.htm"
