"Source","Source ID","Category","Category ID","Name","Palette","Threadcount","Overview","Comment","Copyright","Source URL","Update date"
"Weddslist","","Robert Bradford","rb","Abercrombie","B#00004c; K#000000; W#d0d0d0; G#004c00; ","G/14 W1 G7 K7 B2 K2 B2 K2 B/7","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Anderson","B#00004c; K#000000; W#d0d0d0; G#004c00; Y#ffc800; R#c80000; ","R/3 W6 R1 K2 R1 W18 K3 W3 K3 Y1 K1 Y1 K4 R1 B4 R3 G6 R2 G6 R/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Anderson P","B#00004c; K#000000; W#d0d0d0; G#004c00; Y#ffc800; R#c80000; ","R/3 W6 K1 R2 K1 W18 K3 W3 K3 Y1 K1 Y1 K3 R1 B5 G6 K1 R2 K1 G6 R/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Arbuthnott","B#000064; K#000000; W#d0d0d0; G#004c00; ","B/4 K1 B1 K1 B1 K4 G2 W1 G2 B2 G2 W1 G2 K4 B5 K1 B/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Armstrong","B#00004c; K#000000; R#c80000; G#004c00; ","G/2 K1 G30 K12 B2 K1 B1 K1 B12 R/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Austin","B#00004c; K#000000; G#004c00; ","K/2 G9 B4 K4 B/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Baird","B#000064; K#000000; H#5a3094; G#004c00; ","H/3 G1 H1 G8 K8 B8 K2 B/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Balmoral","K#000000; Y#707070; W#d0d0d0; R#c80000; ","R/1 W1 K1 W2 Y4 W1 Y1 W1 K2 Y2 W11 R2 W/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Barclay Dress","K#000000; Y#c8c800; W#ffffff; ","W/1 Y6 K6 Y/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Barclay Hunting","R#c80000; G#004c00; B#000064; ","R/1 G16 B16 G/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Black Watch","K#000000; B#00004c; G#004c00; ","B/12 K1 B1 K1 B1 K8 G8 K1 G8 K8 B8 K1 B1 G6 K1 G6 K3 B4 K1 B/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Black Watch RHR","K#000000; B#00004c; G#004c00; ","K3 G40 K25 B20 K1 B3 K1 B10","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Borthwick","R#c80000; G#004c00; Y#707070; K#000000; ","G/17 K1 R16 K2 Y14 K19 Y14 K2 R/6","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Borthwick D","R#c80000; G#004c00; K#000000; Y#707070; ","R/4 K2 Y10 K14 Y10 K2 R10 K1 G/12","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Boyd","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; Y#ffc800; ","Y/5 G22 K2 B2 K2 B2 K10 R38 G5 R4 K4 W/5","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Breadalbane Fencibles","G#004c00; B#00004c; K#000000; Y#ffc800; ","B/8 K1 B1 K1 B1 K8 Y1 G13 Y1 K8 B9 K1 B/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Brodie","R#c80000; B#000080; K#000000; W#d0d0d0; Y#ffc800; ","R/48 W4 B4 K4 R12 B4 R1 Y/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Brodie Dress","R#c80000; K#000000; Y#ffc800; ","K/2 R16 K8 Y1 K8 R/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Brodie Hunting","R#c80000; G#004c00; B#00004c; K#000000; Y#ffc800; ","R/2 B8 G8 K8 Y1 G8 R/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Bruce","R#c80000; G#004c00; Y#ffc800; ","R/8 G2 R2 G6 R1 G6 R2 G2 R8 Y/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
