"Source","Source ID","Category","Name","Palette","Threadcount","Overview","Comment","Copyright","Update date"
"House of Tartan","1","Clan","Campbell Clan Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; ","B/24 K4 B4 K4 B4 K20 G24 K6 G24 K20 B22 K4 B/4","Tartan Number: 1. Earliest known date: 1725","The tartan appointed for the Highland Companies in 1725 and later for the Black Watch in 1739 may in fact have been worn by the Campbells at an earlier date. There is a strong possibility that many others wore the sett or something similar before the idea of distinctive clan tartans took hold. This tartan is worn by the present Duke of Argyll, who has approved the sett. The Black Watch is usually dyed in darker shades.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:37"
"House of Tartan","2","Clan","Campbell of Cawdor Clan Tartan","AA#789484 ANC AZURE; K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; R#c80000 RED; ","AA/4 K2 G16 K16 B16 K2 R/4","Tartan Number: 2. Earliest known date: 1798","Campbell of Cawdor is one of Wilson's variations based on the military sett. It was originally a numbered pattern, acquiring the name 'Argyle' in 1798 and 'Argylle' in 1819. It is not until W. and A. Smith's work of 1850 that the full title is given, 'Campbell of Cawdor'. This sett is authorized by the present Clan Chief, MacCailien Mor.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:37"
"House of Tartan","3","Clan","Campbell of Loudoun Clan Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","Y/4 K2 G24 K24 B24 K2 B4 K2 B24 K24 G24 K2 W/4","Tartan Number: 3. Earliest known date: 1886","The rarest of the Campbell tartans, Loudoun is nevertheless, acknowledged by the MacCailein Mor, Chief of the Clan Campbell. It is similar to the Campbell of Argyll except for a different arrangement of black 'tramlines' on the blue stripe. The tartan may have its origin in the formation of 'Loudouns Highlanders' raised at the time of the '45 and disbanded in 1748 though a similar claim is made for another sett. The weavers, Wilson's of Bannockburn, produced many variations of the Black Watch, for the Highland regiments, by adding coloured stripes to the basic pattern. The sett was not published until 1886 when James Grant included it in 'The Tartans of the Clans of Scotland' published by W and A.K. Johnston, Edinburgh.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:37"
"House of Tartan","4","Clan","Scott Red Clan Tartan","K#101010 BLACK; G#006818 GREEN; R#c80000 RED; W#e0e0e0 WHITE; ","G/6 R4 K4 R56 G28 R8 G8 W6 G8 R/8","Tartan Number: 4. Earliest known date: 1930-50","The Red Scott tartan is the sett most often seen today. The earliest recording appears to come from a sample in the MacKinlay collection at the Scottish Tartans Society. Sir Walter Scott, despite his assertion that Lowlanders never wore plaids, was largely responsible for the wide spread introduction of tartans to the Lowland families. There is also a Green Scott tartan.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
"House of Tartan","6","District","Lorne District Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; ","B/4 K2 G16 K2 G2 K2 G2 K16 B2 K2 B2 K2 B16 K2 G/4","Tartan Number: 6. Earliest known date: 1871","Designed to commemorate the marriage of the Marquis John (later 9th Duke) to Princess Louise, daughter of Queen Victoria. Adopted by the 5th Royal Scots of Canada on assuming a Scottish identity for the whole regiment in 1880. The Marquis was Governor-General of Canada. In due course the regiment became The Black Watch (Royal Highland Regiment) of Canada.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
"House of Tartan","7","Commemorative","Louise Commemorative Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; R#c80000 RED; ","B/4 R2 G16 K4 G4 K4 G4 K16 B4 K4 B4 K4 B16 K2 G/4","Tartan Number: 7. Earliest known date: 1871","Brought out for the wedding of the Marquis of Lorne to Her Royal Highness the Princess Louise in 1871. Published in 'Campbell Tartan' by Alastair Campbell of Airds, yr, in 1985, where he quotes, ""brought out by Mr M'Kissock, of Girvan"" and approved by the Marquis of Lorne. There is a companion to this sett in which the red stripe is replaced with black. They are collectively known as Lorne and Louise tartans.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
"House of Tartan","14","Clan","Campbell of Glenlyon Clan Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; ","B/4 K2 B14 K12 G/14","Tartan Number: 14. Earliest known date: pre 2003","MacKinlay strip. Sample in STS collection.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
"House of Tartan","17","Personal","Campbell Brown Personal Tartan","K#101010 BLACK; DB#202060 DARK BLUE; G#006818 GREEN; UT#480800 UMBER; W#e0e0e0 WHITE; Y#e8c000 YELLOW; ","W/18 K2 UT62 G60 DB72 G6 DB6 G6 DB72 G60 UT62 K2 Y/18","Tartan Number: 17. Earliest known date: pre 1992","Specially made for Captain Campbell of the Blythswood family.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
"House of Tartan","20","Artifact","Campbell Dress Artifact Tartan","K#101010 BLACK; B#2c2c80 BLUE; G#006818 GREEN; W#e0e0e0 WHITE; ","W/6 K4 W30 B6 W6 K14 G16 K4 G16 K14 B16 K2 B/4","Tartan Number: 20. Earliest known date: 1880","A sample is displayed at the Black Watch museum. However, it was never worn as a regimental tartan.","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
"House of Tartan","23","District","Glen Lyon District Tartan","K#101010 BLACK; G#006818 GREEN; R#c80000 RED; ","K/12 G10 R/4","Tartan Number: 23. Earliest known date: 1820","Appears to be No 185 in Wilson's '1819'","Copyright © Blair Urquhart, Comrie, 2015","2016/10/31 08:43:38"
