"ID", "Name", "P-pivot,R-repeat", "Colors", "Threadcount"
826, "Abbotsford Commemorative Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "G10K4W6K6Y4B8K6W6K6W6K6W6K6W6K6W6K6G8R6G6W4G4K10"
241, "Abercrombie Family Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE;", "B14K4B4K4B4K14G14W2G28"
1070, "Abercrombie Family Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;", "K4B16R2K28G28W2G28R2K24"
1801, "Aberdeen District Tartan", P, "A=5C8CA8AZURE;K=101010BLACK;LG=289C18LIGHT GREEN;P=780078PURPLE;R=C80000RED;LR=D05054ROSE;W=E0E0E0WHITE;", "W4LG8K32W4P12A8W4A8P12W4P6R16LR6W4LR6R16P6W4K24LG8K24W4P6R16LR6W4LR6R16P6W4A20W2R12LR6W2LR6R12W2LR8K32W4R46LR6W4"
2057, "Aberdeen F.C. Corporate Tartan", P, "K=101010BLACK;DR=901C38MARROON;R=C80000RED;W=E0E0E0WHITE;", "W4K2DR56K6R56K2W4"
2694, "Aberdeen F.C. Corporate Tartan", P, "NB=003C64NAVY BLUE;O=D87C00ORANGE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "O10NB2R4NB8R72NB44W8Y4"
2152, "Aberdeen University Corporate Tartan", P, "K=101010BLACK;B=2C2C80BLUE;R=C80000RED;Y=E8C000YELLOW;", "Y8B32K28R60Y8"
7748, "Aberfeldy District Tartan", P, "AB=506878ANC BLUE;A=5C8CA8AZURE;RR=901C38MARROON;AG=007460ANC GREEN;W=E0E0E0WHITE;K=101010BLACK", "W4AB4K4A4AB64RR4AB4RR4K26AB4AG32RR4AG4W4"
6814, "Aberuchill District Tartan", P, "G=006818GREEN;DR=880000DARK RED;DP=440044DARK PURPLE;HG=285800HUNTING GREEN;DG=003820DARK GREEN;K=101010BLACK;MP=9C68A4MAUVE;DO=B84C00DARK ORANGE;TK=8C7038KHAKI;OG=58581COLIVE BROWN;", "MP8K2OG10DP30OG30G55K4DO6"
3022, "Adams Clan/Family Tartan", P, "K=101010BLACK;DT=441800DARK BROWN;DR=880000DARK RED;G=006818GREEN;LN=C0C0C0LIGHT GRAY;RB=1C0070ROYAL BLUE;", "DR4RB44LN2G12DT34G10DT10G34K4G8DR8"
182, "Agnew Family Tartan", P, "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;", "B53G42R14"
1673, "Ailsa Craig Trade Tartan", P, "K=101010BLACK;B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "R10W4B40Y4K32W36K4W10"
7605, "Ailsa Gold Fashion Tartan", P, "W=F0E0C8WHITE;P=780078PURPLE;MY=F8B400M YELLOW;", "MY16W6MY56W64P6W8"
7591, "Ailsa Navy Fashion Tartan", P, "W=F0E0C8WHITE;RB=1C0070ROYAL BLUE;K=101010BLACK;", "RB16W6RB56W64K6W8"
7587, "Ailsa Pink Fashion Tartan", P, "W=F0E0C8WHITE;CLR=E87878CORAL;K=101010BLACK;", "CLR16W6CLR56W64K6W8"
7595, "Ailsa Royal Blue Fashion Tartan", P, "W=F0E0C8WHITE;B=2C2C80BLUE;NB=003C64NAVY BLUE;A=5C8CA8AZURE;", "B16A6B56W64NB6W8"
7604, "Ailsa Yellow Fashion Tartan", P, "W=F0E0C8WHITE;P=780078PURPLE;Y=FCE058M YELLOW;", "Y16W6Y56W64P6W8"
586, "Ainslie Lake.. District Tartan", P, "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "B6R2Y6R4G20W20B12"
2426, "Akins Clan Tartan", P, "A=5C8CA8AZURE;DG=003820DARK GREEN;DR=880000DARK RED;NB=003C64NAVY BLUE;R=C80000RED;", "A8DG24NB22DR8R8DR8R8DR24"
997, "Akins Red Family Tartan", P, "K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "G12R8G10R26K26W10K26R26Y12"
3033, "Alabama Fancy Tartan", P, "K=101010BLACK;DN=5C5C5CDARK GREY;DR=880000DARK RED;G=006818GREEN;LN=C0C0C0LIGHT GRAY;MY=D09800M YELLOW;R=C80000RED;", "R6LN16K18G32R24DN24MY6"
6980, "Alabama American District Tartan", P, "W=E0E0E0WHITE;B=2C2C80BLUE;NB=003C64NAVY BLUE;N=888888GRAY;A=5C8CA8AZURE;RR=901C38MARROON;DCR=A00048CRIMSON;LRB=1474B4BALMORAL BLUE;R=C80000RED;", "W6LRB4W4LRB4W2LRB50NB8N8A2N2A2N8NB8RR2NB2RR6NB2RR2NB8W2NB4W6R10"
8433, "Alaska Highlanders Pipes &amp; Drums Corporate Tartan", P, "WW=F8F8F8WILSON WHITE;B=2C2C80BLUE;LSB=98C8E8LIGHT SKY;YY=FCCC3CYELLOW-BASIC;", "WW6B4LSB20B4YY8B4LSB54B18"
1945, "Alberta Trade Tartan", R, "K=101010BLACK;B=2C2C80BLUE;T=604000BROWN;G=006818GREEN;", "B16G8K8B1K1B1K1B1K1B1K1B1K1B1K1B20K4G12K24T8B1T1B1T1B1T1B1T1B1T1B1T1B28T6K4G50"
2055, "Alberta District Tartan", P, "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;LR=D05054ROSE;Y=E8C000YELLOW;", "G24K2LR2K2A4K2Y8"
1405, "Alexander Family Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;", "R24B4R8B8K30G8R8G4R24"
10130, "Alich Dutch Personal Tartan", P, "P=780078PURPLE;NB=003C64NAVY BLUE;R=C80000RED;K=101010BLACK;", "P4NB12R4K200"
4066, "All Irish Blue Irish District Tartan", R, "B=2C2C80BLUE;DB=202060DARK BLUE;DY=E8C000GOLD;G=006818GREEN;LB=2888C4LIGHT BLUE;LG=289C18LIGHT GREEN;LSB=98C8E8LIGHT SKY;AA=506494ANC AZURE;GN=406054GREEN GREY;WG=408060WTHRD GREEN;GO=BC8C00DARK GOLD;", "AA12LSB4B4AA60WG4AA4GO4LG8GO4WG4GO2WG36GO2LSB4B4GO8B4LSB4GO2WG36GO2WG4GO4LG8GO4AA4WG4AA60B4LSB4"
4065, "All Irish Green Irish District Tartan", P, "DG=003820DARK GREEN;DR=880000DARK RED;G=006818GREEN;LG=289C18LIGHT GREEN;O=C44C10ORANGE;", "G12LG4DR4G60O4LG8O4DG4O2DG40O2LG4DR8"
4067, "All Irish Red Irish District Tartan", R, "B=2C2C80BLUE;DB=202060DARK BLUE;G=006818GREEN;LG=289C18LIGHT GREEN;R=C80000RED;LSB=98C8E8LIGHT SKY;AA=789484ANC AZURE;OG=5C6428OLIVE GREEN;", "R12AA4DB4R60G4R4LG8R4G4R2G40R2AA4DB4R8DB4AA4R2G40R2G4R4LG8R4G4R60DB4AA4"
8453, "Allandale Blue Dress Tartan", P, "K=101010BLACK;W=E0E0E0WHITE;LB=2888C4LIGHT BLUE;P=B80478PURPLE;Y=E8C000YELLOW;", "LB6P4LB2P18W4Y6P10LB34W80K2W4K6"
8457, "Allandale Red Dress Tartan", P, "K=101010BLACK;W=E0E0E0WHITE;N=888888GRAY;G=006818GREEN;R=C80000RED;", "G6R4G2R18N4Y6R10G34W80K2W4K6"
2482, "Allen Personal Tartan", R, "K=101010BLACK;B=2C2C80BLUE;DY=E8C000GOLD;G=006818GREEN;R=C80000RED;", "G4R4G24K8B22R4B22K8B4K18B4K18B4K8B22DY4B22K8G24R4G4R4G24K8B22DY4B22K8B4K18B4K18B4K8B22R4B22K8G24R4"
3208, "Allen Northumbrian Family Tartan", P, "B=2C2C80BLUE;DT=441800DARK BROWN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "B22R2B4R6B2DT16G22W2G22DT16B16Y2R2Y2"
10684, "Allianz Deutschland 2012 Corporate Tartan", P, "K=000000BLACK;B=20608CFSBLUE;DB=141C50OXFORD;W=E8E8E8WHITE;", "B12DB6B12DB40K40DB16W8"
314, "Allison Family Tartan", P, "K=101010BLACK;B=2C2C80BLUE;DB=202060DARK BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;DG=003820DARK GREEN;HG=285800HUNTING GREEN;", "DB6K6DB30K30Y6DG30K6DG30W6K30B8R12K6Y4"
673, "Allison Family Tartan", P, "K=101010BLACK;B=2C2C80BLUE;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "DB64Y3G12K3G12W3DB15B4R21DB3Y2"
10101, "Alloway Primary School Corporate Tartan", P, "LSB=98C8E8LIGHT SKY;Y=D8D458YELLOW;N=888888GRAY;W=E0E0E0WHITE;B=2C2C80BLUE;", "N20W8B2LSB60B2W8N20Y36"
6688, "Alpha Chi Sigma Fraternity Corporate Tartan", P, "NB=003C64NAVY BLUE;Y=E8C000YELLOW;R=C80000RED;W=E0E0E0WHITE;", "NB70Y2NB6Y2NB6Y2NB40R12W2R10"
643, "Alvis of Lee Personal Tartan", P, "A=5C8CA8AZURE;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;", "DB9W4G36A36R4"
10656, "Alyssa's Theme Fashion Tartan", P, "K=000000BLACK;R=800300MAROON;N=7D7D7DGREY;B=38558FTORY BLUE;", "B4K26B16K4R2N2R42K2R2N4K16R26K4"
2190, "Amarillo District Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;Y=E8C000YELLOW;", "B72K8LB8B36K16G36R16B36LB8K8Y4"
91, "American Bicentennial Commemorative Tartan", P, "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE;", "B28A4W4A4B40K40R34W8R6W6R6W6R10"
2354, "American Express Corporate Tartan", R, "RB=000064NAVY;G=007800GREEN;DR=8C0000RED;LN=C8C8C8WHITE;FSB=3474FCLIGHT BLUE;", "RB8FSB36DR4RB20G20LN8G20RB20DR4FSB36"
6882, "American National Fashion Tartan", P, "W=E0E0E0WHITE;K=101010BLACK;R=DC0000;G=003C14;B=080848;X=000028;", "K6R6G8B14K6X78B30W6"
2316, "American Soc of Travel Agents Corporate Tartan", R, "N=888888GREY;R=C80000RED;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE;", "W4G20B20R2B20N2B2N20B4N20B2N2B20R2B20G20"
3016, "Amnesty International Corporate Tartan", R, "DO=B05830DARK ORANGE;K=101010BLACK;B=242468BLUE;T=604000BROWN;DY=E8A800GOLD;G=147414GREEN;W=E0E0E0WHITE;", "K4DB24DO16LG24Y4LG24DO16DB24W4DB24DO16LG24WR4LG24DO16DB24"
1394, "Anderson Family Tartan", P, "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "R6A12R2K4R2A36K6W6K6Y2K2Y2K8R2B8R6G12R4G12R8"
1514, "Anderson Dress Clan Tartan", P, "K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "R4G8R4G8R2K4Y4K4Y2W4Y2K4Y2W24R4W10R6"
7024, "Anderson of Ardbrake Clan/Family Tartan", P, "LB=2888C4LIGHT BLUE;G=006818GREEN;K=101010BLACK;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;B=2C2C80BLUE;", "LB4G8K6LB2R44B4K6W8K6Y4K4Y4K8R4LB6B10G18R4K26"
1347, "Anderson Old Tartan", P, "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "R16A32K2R8K2A104W16K2Y4K8Y4K28R4A28G32K2R8K2G32R16"
1350, "Anderson Variant Clan Tartan", P, "K=101010BLACK;DB=202060DARK BLUE;G=006818GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;", "R6LB12K2R4K2LB28K6W6K6Y4K4Y4K4R4DB10R4G12K2R4K2G12R6"
10038, "Angotta Name Tartan", P, "K=000000BLACK;R=C80000RED;B=2C2C80BLUE;G=006818GREEN;LG=289C18LIGHT GREEN;DY=BC8C00DARKGOLD;", "R2B80R2B4DY8B10DY4B10DY2B2DY2B2DY12"
1179, "Angus District Tartan", P, "K=101010BLACK;B=2C2C80BLUE;R=C80000RED;", "K6R2K64B56R2B4R2B4R6"
1742, "Annan Trade Tartan", P, "K=101010BLACK;N=888888GREY;LT=A08858LIGHT BROWN;O=D87C00ORANGE;", "LT12N40K32LT12N4LT8O8LT8N4LT60"
2282, "Antrim Irish County Tartan", P, "RR=B03000AM RUST;VDB=101448M BLUE;DBG=043C48PRUSSIAN;FSG=4C9864FS GREEN;LY=F4BC3CAM MUSTARD;", "LY8FSG4VDB34RR10LY4VDB10LY4FSG34DBG4FSG10"
6447, "Apache North Sea Commemorative Tartan", R, "Y=D8B000YELLOW;WR=6C0070HEATHER;NB=003C64NAVY BLUE;K=101010BLACK;N=888888GREY;", "Y4WR8Y4NB14N6K20K26NB14N6K26N6NB14K30NB14N6K26N6NB14K26K20N6NB14Y4WR8"
961, "Applecross (MacDonald) District Tartan", P, "G=006818GREEN;R=C80000RED;", "G36R4G14R36"
657, "Aquascutum Trade Tartan", P, "B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE;", "B22W22R22"
6596, "Arbroath Smokie Corporate Tartan", P, "R=C80000RED;BN=14283CBLUE GREY;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;W=E0E0E0WHITE;DR=880000DARK RED", "GO2DR90BN46W2BN12R4GO2R4GO2"
204, "Arbuthnott Clan Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE;", "B8K8B38K38G14W4G16B16G16W4G14K38B8K8B8K8B36"
2487, "Argentina Argentinian District Tartan", R, "B=2C2C80BLUE;DB=202060DARK BLUE;ZZ=808080MISSING COLOUR;WW=F8F8F8WILSON WHITE;NB=003C64NAVY BLUE;YY=FCCC00YELLOW-BASIC;W=E0E0E0WHITE;", "B6DB72B6DB6B66W6B10W6B66DB6B6DB72"
10007, "Argentine Flag Fashion Tartan", P, "AR=E86000ANC RED;Y=E8C000YELLOW;W=E0E0E0WHITE;A=5C8CA8AZURE;", "Y8W6Y4W6Y2W4A52"
2079, "Argyll District Tartan", P, "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;", "A4K2G16K16B16K2R4"
5706, "Arizona American District Tartan", R, "K=101010BLACK;T=604000BROWN;HG=285800HUNTING GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;WW=FCFCFCWILSON WHITE;G=006818GREEN;A=5C8CA8AZURE;", "T6G4WW4R4T24K24G24R4G4A4G4Y4G4A4G4R4G24K24T24R4WW4G4"
2678, "Arkansas State American District Tartan", P, "K=101010BLACK;HG=285800HUNTING GREEN;S=C8002CSCARLET;WW=FCFCFCWILSON WHITE;G=006818GREEN;LG=289C18LIGHT GREEN;p=2C0038350;", "G8K12G12S24G48WW4G12"
2276, "Armagh Irish County Tartan", P, "Y=BCAC20C YELLOW;OG=407C40P GREEN;XR=A81830SCARLETT;DG=043828VENUS GREEN;", "OG4DG22OG6DG4XR8DG4OG34Y4OG8"
793, "Armstrong Clan Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;", "G4K2G60K24B4K2B2K2B24R6"
6482, "Arnold Palmer Corporate Tartan", P, "EG=009468Emerald Green;DG=003820DARK GREEN;R=C80000RED;W=E0E0E0WHITE;K=101010BLACK;Y=E8C000YELLOW;BG=285800HUNTING GREEN;", "BG80R10K4W4K4Y6K4BG20R6K6"
381, "Arran District Tartan", P, "K=101010BLACK;N=888888GREY;P=780078PURPLE;R=C80000RED;W=E0E0E0WHITE;", "P90N5P5N5P5K16R3K5R4K4R5K3R6W4R6K3R5K4R4K5R3K16N22K5"
1365, "Arrol Corporate Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;XR=C80000RED;W=E0E0E0WHITE;", "XR10B30K30G30W4G30K30G30W4"
3840, "Asher Personal Tartan", R, "Y=E8C000YELLOW;W=E0E0E0WHITE;RB=1C0070ROYAL BLUE;R=C80000RED;DG=003820DARK GREEN;", "DG80DY4RB6R8RB6DY4DG80W6DG80DY4RB6R8RB6DY4"
3529, "Asman Day Tan Family Tartan", P, "K=101010BLACK;LT=A08858LIGHT BROWN;LN=C0C0C0LIGHT GRAY;MY=D09800M YELLOW;OG=5C6428OLIVE GREEN;R=C80000RED;", "LT8MY4LT36R12LN4K12LN4LT12OG36K4OG8"
2552, "Asman Dress Family Tartan", P, "K=101010BLACK;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;DR=880000DARK RED;E=4C3428DRAB;LN=C0C0C0LIGHT GRAY;WW=FCFCFCWILSON WHITE;R=C80000RED;DY=E8C000GOLD;B=2C2C80BLUE;N=888888GREY;", "B8DY6B44N12WW4K12WW4R12R40K6R8"
2553, "Asman Hunting Family Tartan", P, "K=101010BLACK;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;DR=880000DARK RED;E=4C3428DRAB;W=E0E0E0WHITE;WW=FCFCFCWILSON WHITE;N=888888GREY;R=C80000RED;DY=E8C000GOLD;B=2C2C80BLUE;", "B8DY6B44R12WW4K12WW4B12N40K6N8"
2078, "Atholl District Tartan", P, "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;", "B24K4B4K4B4K24G24R6G24K24B24K2R6"
1781, "Atlantic Ancient Trade Tartan", P, "B=2C2C80BLUE;T=604000BROWN;DB=202060DARK BLUE;DG=003820DARK GREEN;W=E0E0E0WHITE;Y=E8C000YELLOW;", "W6B34T32DB4DG34Y4"
2159, "Aubigny Auld Alliance District Tartan", R, "K=101010BLACK;DY=E8C000GOLD;S=C8002CSCARLET;", "S18K4S10K4S36K18DY8K4DY6K4DY40K4DY6K4DY8K18S18"
10014, "Auchinachie Name Tartan", P, "B=2C2C80BLUE;K=101010BLACK;G=006818GREEN;R=C80000RED;A=5C8CA8AZURE;Y=E8C000YELLOW;", "A4K4B24K8R2K8A20Y2A20K16B24K4"
3043, "Auckland New Zealand District Tartan", P, "K=101010BLACK;B=2C2C80BLUE;DG=003820DARK GREEN;LN=C0C0C0LIGHT GRAY;", "DG6K6B4K32B4K4B48LN4"
2402, "Auld Lang Syne (red) Tartan", P, "R=C80000RED;G=006818GREEN;K=101010BLACK;", "R8G4R48K12R10G28R8"
7250, "Auld Lang Syne Blue Fashion Tartan", P, "W=E0E0E0WHITE;K=101010BLACK;G=004505;B=3A70DD;L=9173B3;", "W4L12K4G20K50L6K6L6K6B18K4W8"
2401, "Auld Lang Syne Brown Tartan", P, "W=FFFFDA;N=977957;O=352406;B=130D00;", "W8B4O16B4N4B4N4B46O20B4O14B4"
2400, "Auld Lang Syne Burns Commemorative Tartan", P, "K=090700;L=A7EAE1;B=205D7A;N=351D00;", "L6N6K6N48B48K6B6K6"
8081, "Auld Lang Syne, Grey Weavers Tartan", P, "W=E0E0E0WHITE;LP=B468ACMAUVE;K=101010BLACK;G=006818GREEN;FSB=3C4C6CFS BLUE;P=780078PURPLE;N=888888GRAY;DR=880000DARK RED;", "K4N12K4N20K46DR6K6DR6N6N18K4W8"
