"Source","Source ID","Category","Name","Palette","Threadcount","Overview","Comment","Copyright","Update date"
"Weddslist","","Robert Bradford","Abercrombie","B#00004c; K#000000; W#d0d0d0; G#004c00; ","G/14 W1 G7 K7 B2 K2 B2 K2 B/7","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Anderson","B#00004c; K#000000; W#d0d0d0; G#004c00; Y#ffc800; R#c80000; ","R/3 W6 R1 K2 R1 W18 K3 W3 K3 Y1 K1 Y1 K4 R1 B4 R3 G6 R2 G6 R/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Anderson P","B#00004c; K#000000; W#d0d0d0; G#004c00; Y#ffc800; R#c80000; ","R/3 W6 K1 R2 K1 W18 K3 W3 K3 Y1 K1 Y1 K3 R1 B5 G6 K1 R2 K1 G6 R/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Arbuthnott","B#000064; K#000000; W#d0d0d0; G#004c00; ","B/4 K1 B1 K1 B1 K4 G2 W1 G2 B2 G2 W1 G2 K4 B5 K1 B/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Armstrong","B#00004c; K#000000; R#c80000; G#004c00; ","G/2 K1 G30 K12 B2 K1 B1 K1 B12 R/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Austin","B#00004c; K#000000; G#004c00; ","K/2 G9 B4 K4 B/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Baird","B#000064; K#000000; H#5a3094; G#004c00; ","H/3 G1 H1 G8 K8 B8 K2 B/3","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Balmoral","K#000000; Y#707070; W#d0d0d0; R#c80000; ","R/1 W1 K1 W2 Y4 W1 Y1 W1 K2 Y2 W11 R2 W/4","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Barclay Dress","K#000000; Y#c8c800; W#ffffff; ","W/1 Y6 K6 Y/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Barclay Hunting","R#c80000; G#004c00; B#000064; ","R/1 G16 B16 G/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Black Watch","K#000000; B#00004c; G#004c00; ","B/12 K1 B1 K1 B1 K8 G8 K1 G8 K8 B8 K1 B1 G6 K1 G6 K3 B4 K1 B/1","","","","2016/10/31 08:48:45"
"Weddslist","","Robert Bradford","Black Watch RHR","K#000000; B#00004c; G#004c00; ","K3 G40 K25 B20 K1 B3 K1 B10","","","","2016/10/31 08:48:45"
