"Category", "Name", "Threadcount"
"Robert Bradford", "Abercrombie", "b#00004ck#000000w#d0d0d0g#004c00[g14(w1g7k7b2k2b2k2)b7"
"Robert Bradford", "Anderson", "b#00004ck#000000w#d0d0d0g#004c00y#ffc800r#c80000[r3(w6r1k2r1w18k3w3k3y1k1y1k4r1b4r3g6r2g6)r4"
"Robert Bradford", "Anderson P", "b#00004ck#000000w#d0d0d0g#004c00y#ffc800r#c80000[r3(w6k1r2k1w18k3w3k3y1k1y1k3r1b5g6k1r2k1g6)r3"
"Robert Bradford", "Arbuthnott", "b#000064k#000000w#d0d0d0g#004c00[b4(k1b1k1b1k4g2w1g2b2g2w1g2k4b5k1)b1"
"Robert Bradford", "Armstrong", "b#00004ck#000000r#c80000g#004c00[g2(k1g30k12b2k1b1k1b12)r3"
"Robert Bradford", "Austin", "b#00004ck#000000g#004c00[k2(g9b4k4)b4"
"Robert Bradford", "Baird", "b#000064k#000000h#5a3094g#004c00[h3(g1h1g8k8b8k2)b3"
"Robert Bradford", "Balmoral", "k#000000y#707070w#d0d0d0r#c80000[r1(w1k1w2y4w1y1w1k2y2w11r2)w4"
"Robert Bradford", "Barclay Dress", "k#000000y#c8c800w#ffffff[w1(y6k6)y1"
"Robert Bradford", "Barclay Hunting", "r#c80000g#004c00b#000064[r1(g16b16)g1"
"Robert Bradford", "Black Watch", "k#000000b#00004cg#004c00[b12(k1b1k1b1k8g8k1g8k8b8k1b1g6k1g6k3b4k1)b1"
"Robert Bradford", "Black Watch RHR", "k#000000b#00004cg#004c00[(k3g40k25b20k1b3k1b10)"
"Robert Bradford", "Borthwick", "r#c80000g#004c00y#707070k#000000[g17(k1r16k2y14k19y14k2)r6"
"Robert Bradford", "Borthwick D", "r#c80000g#004c00k#000000y#707070[r4(k2y10k14y10k2r10k1)g12"
"Robert Bradford", "Boyd", "r#c80000g#004c00b#00004ck#000000w#d0d0d0y#ffc800[y5(g22k2b2k2b2k10r38g5r4k4)w5"
"Robert Bradford", "Breadalbane Fencibles", "g#004c00b#00004ck#000000y#ffc800[b8(k1b1k1b1k8y1g13y1k8b9k1)b1"
